,Years,Month,Degree Heating Week Values
0,2006,1,0.10
1,2006,2,1.08
2,2006,3,1.46
3,2006,4,1.31
4,2006,5,0.15
5,2006,6,0.00
6,2006,7,0.00
7,2006,8,0.00
8,2006,9,0.00
9,2006,10,0.00
10,2006,11,0.00
11,2006,12,0.00
