Station Name,Latitude,Longitude
Torres Strait,-9.95,143.65
Far Northern GBR,-12.675,144.1
Northern GBR,-16.1,145.975
Central GBR,-19.225,148.275
Southern GBR,-22.625,151.125
Northern Coral Sea Islands,-16,149.35
Southern Coral Sea Islands,-21.1,153.975
